id,identifier,name,parent
2097,5x6,5×6,2077
2098,6x6,6×6,2077
2099,1x7,1×7,2077
2100,2x7,2×7,2077
2101,3x7,3×7,2077
2102,4x7,4×7,2077
2103,5x7,5×7,2077
2104,6x7,6×7,2077
2105,7x7,7×7,2077
2106,1x8,1×8,2077
2107,2x8,2×8,2077
2108,3x8,3×8,2077
2109,4x8,4×8,2077
2110,5x8,5×8,2077
2111,6x8,6×8,2077
2112,7x8,7×8,2077
2113,8x8,8×8,2077
2114,1x9,1×9,2077
2115,2x9,2×9,2077
2116,3x9,3×9,2077
2117,4x9,4×9,2077
2118,5x9,5×9,2077
2119,6x9,6×9,2077
2120,7x9,7×9,2077
2121,8x9,8×9,2077
2122,9x9,9×9,2077
2123,1x10,1×10,2077
2124,2x10,2×10,2077
2125,3x10,3×10,2077
2126,4x10,4×10,2077
2127,5x10,5×10,2077
2128,6x10,6×10,2077
2129,7x10,7×10,2077
2130,8x10,8×10,2077
2131,9x10,9×10,2077
2132,10x10,10×10,2077
2133,multiplication_big,Velká násobilka,2076
2134,1x11,1×11,2133
2135,1x12,1×12,2133
2136,1x13,1×13,2133
2137,1x14,1×14,2133
2138,1x15,1×15,2133
2139,1x16,1×16,2133
2140,1x17,1×17,2133
2141,1x18,1×18,2133
2142,1x19,1×19,2133
2143,1x20,1×20,2133
2144,2x11,2×11,2133
2145,2x12,2×12,2133
2146,2x13,2×13,2133
2147,2x14,2×14,2133
2148,2x15,2×15,2133
2149,2x16,2×16,2133
2150,2x17,2×17,2133
2151,2x18,2×18,2133
2152,2x19,2×19,2133
2153,2x20,2×20,2133
2154,3x11,3×11,2133
2155,3x12,3×12,2133
2156,3x13,3×13,2133
2157,3x14,3×14,2133
2158,3x15,3×15,2133
2159,3x16,3×16,2133
2160,3x17,3×17,2133
2161,3x18,3×18,2133
2162,3x19,3×19,2133
2163,3x20,3×20,2133
2164,4x11,4×11,2133
2165,4x12,4×12,2133
2166,4x13,4×13,2133
2167,4x14,4×14,2133
2168,4x15,4×15,2133
2169,4x16,4×16,2133
2170,4x17,4×17,2133
2171,4x18,4×18,2133
2172,4x19,4×19,2133
2173,4x20,4×20,2133
2174,5x11,5×11,2133
2175,5x12,5×12,2133
2176,5x13,5×13,2133
2177,5x14,5×14,2133
2178,5x15,5×15,2133
2179,5x16,5×16,2133
2180,5x17,5×17,2133
2181,5x18,5×18,2133
2182,5x19,5×19,2133
2183,5x20,5×20,2133
2184,6x11,6×11,2133
2185,6x12,6×12,2133
2186,6x13,6×13,2133
2187,6x14,6×14,2133
2188,6x15,6×15,2133
2189,6x16,6×16,2133
2190,6x17,6×17,2133
2191,6x18,6×18,2133
2192,6x19,6×19,2133
2193,6x20,6×20,2133
2194,7x11,7×11,2133
2195,7x12,7×12,2133
2196,7x13,7×13,2133
2197,7x14,7×14,2133
2198,7x15,7×15,2133
2199,7x16,7×16,2133
2200,7x17,7×17,2133
2201,7x18,7×18,2133
2202,7x19,7×19,2133
2203,7x20,7×20,2133
2204,8x11,8×11,2133
2205,8x12,8×12,2133
2206,8x13,8×13,2133
2207,8x14,8×14,2133
2208,8x15,8×15,2133
2209,8x16,8×16,2133
2210,8x17,8×17,2133
2211,8x18,8×18,2133
2212,8x19,8×19,2133
2213,8x20,8×20,2133
2214,9x11,9×11,2133
2215,9x12,9×12,2133
2216,9x13,9×13,2133
2217,9x14,9×14,2133
2218,9x15,9×15,2133
2219,9x16,9×16,2133
2220,9x17,9×17,2133
2221,9x18,9×18,2133
2222,9x19,9×19,2133
